TABLE 9. NUTRITION: BREASTFEEDING AND DIETS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Countries and areas,"Infant and Young Child Feeding (0−23 months)
2018–2024 (R)",,,,,,,,,,,,,,,,,,,,,,,
,Early initiation of breastfeeding (%),,Exclusive breastfeeding (<6 months) (%),,"Introduction to solid, semi-sold or soft foods (6−8 months)",,Continued breastfeeding (12–23 months) (%),,,,,,Percentage of children consuming (6–23 months) (%),,,,,,Minimum meal frequency (6–23 months) (%),,Minimum acceptable diet (6–23 months) (%),,Zero vegetable or fruit consumption (6–23 months) (%),
,,,,,,,All children,,Poorest 20%,,Richest 20%,,<=2 food groups (severe food poverty),,3−4 food groups (moderate food poverty),,At least 5 food groups (minimum dietary diversity),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,
East Asia and Pacific (UNICEF Rep.Regions),51,,37,,83,,39,,-,,-,,12,,32,,56,,73,,43,,16,
Europe and Central Asia (UNICEF Rep.Regions),-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
   Eastern Europe and Central Asia (UNICEF Rep.Regions),54,,35,,84,,53,,-,,-,,-,,-,,-,,-,,-,,-,
   Western Europe (UNICEF Rep.Regions),-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Latin America and the Caribbean (UNICEF Rep.Regions),59,,43,,86,,46,,-,,-,,-,,-,,-,,-,,-,,-,
Middle East and North Africa (UNICEF Rep.Regions),34,,33,,80,,45,,-,,-,,21,,41,,38,,59,,28,,31,
North America (UNICEF Rep.Regions),-,,26,,-,,12,,-,,-,,-,,-,,-,,-,,-,,-,
South Asia (UNICEF Rep.Regions),38,,60,,56,,78,,-,,-,,38,,39,,23,,43,,14,,53,
Sub-Saharan Africa (UNICEF Rep.Regions),56,,46,,72,,67,,-,,-,,34,,48,,19,,43,,11,,45,
   Eastern and Southern Africa (UNICEF Rep.Regions),69,,57,,79,,71,,-,,-,,31,,50,,19,,51,,12,,47,
   West and Central Africa (UNICEF Rep.Regions),46,,37,,67,,65,,-,,-,,36,,46,,19,,37,,9,,44,
Least Developed Countries (LDC) (UNSDG),59,,52,,75,,74,,-,,-,,31,,48,,21,,46,,13,,46,
World,48,,47,,70,,61,,-,,-,,29,,40,,31,,50,,18,,40,
,,,,,,,,,,,,,,,,,,,,,,,,
"For a complete list of countries and areas in the regions, subregions and country categories, see page on Regional Classifications or visit <https://data.unicef.org/regionalclassifications>. China 2017 data included in regional and global estimates.",,,,,,,,,,,,,,,,,,,,,,,,
It is not advisable to compare data from consecutive editions of The State of the World’s Children report.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,
- Data not available.,,,,,,,,,,,,,,,,,,,,,,,,
x Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,,,,,,,,,,,,,,,,,,,,,,,
ER External Reanalysis,,,,,,,,,,,,,,,,,,,,,,,,
R Data refer to the most recent year available during the period specified in the column heading.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
